time,q_actual_0,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,dq_actual_0,dq_actual_1,dq_actual_2,dq_actual_3,dq_actual_4,dq_actual_5,dq_actual_6,tau_actual_0,tau_actual_1,tau_actual_2,tau_actual_3,tau_actual_4,tau_actual_5,tau_actual_6,q_ref_0,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,dq_ref_0,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,tau_ref_0,tau_ref_1,tau_ref_2,tau_ref_3,tau_ref_4,tau_ref_5,tau_ref_6
50.440000,-0.002861,0.000191,-0.000954,0.105097,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.141636,-0.021978,0.007326,-0.007326,0.408791,-0.224176,0.088889,0.936752,0.012210,0.002442,0.041514,0.000000,0.000000,0.000000,0.111500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.450000,-0.002861,0.000191,-0.000954,0.107004,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.141636,-0.007326,0.007326,-0.007326,0.382418,-0.224176,0.088889,0.786325,0.012210,-0.007326,0.051282,0.000000,0.000000,0.000000,0.112500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.460000,-0.002861,0.000191,-0.000954,0.107385,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.083028,-0.021978,0.007326,-0.007326,0.382418,-0.224176,0.075214,0.895726,0.007326,-0.017094,0.051282,0.000000,0.000000,0.000000,0.113500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.470000,-0.002861,0.000191,-0.000954,0.107767,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.024420,0.007326,0.007326,-0.007326,0.408791,-0.224176,0.088889,1.210256,-0.007326,-0.017094,0.041514,0.000000,0.000000,0.000000,0.114500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.480000,-0.002861,0.000191,-0.000954,0.108530,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.043956,-0.007326,0.007326,-0.007326,0.408791,-0.224176,0.088889,1.319658,0.012210,-0.002442,0.036630,0.000000,0.000000,0.000000,0.115500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.490000,-0.002861,0.000191,-0.000954,0.108911,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.063492,0.007326,0.007326,-0.007326,0.435165,-0.224176,0.102564,1.305983,0.017094,-0.017094,0.061050,0.000000,0.000000,0.000000,0.116500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.500000,-0.002861,0.000191,-0.000954,0.110056,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.102564,-0.007326,0.021978,0.007326,0.408791,-0.224176,0.102564,1.223932,0.007326,-0.031746,0.051282,0.000000,0.000000,0.000000,0.117500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.510000,-0.002861,0.000191,-0.000954,0.111963,-0.000954,0.000954,-0.001717,-0.010989,0.010989,-0.004884,0.161172,-0.007326,0.007326,-0.007326,0.408791,-0.224176,0.088889,0.868376,-0.002442,-0.012210,0.031746,0.000000,0.000000,0.000000,0.118500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.520000,-0.002861,0.000191,-0.000954,0.113489,-0.000954,0.000572,-0.001717,0.010989,-0.032967,-0.004884,0.131868,-0.007326,-0.007326,-0.007326,0.382418,-0.224176,0.102564,0.800000,0.007326,0.002442,0.075702,0.000000,0.000000,0.000000,0.119500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.530000,-0.002861,0.000191,-0.000954,0.114252,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.102564,-0.007326,-0.007326,-0.007326,0.382418,-0.224176,0.102564,0.923077,-0.002442,-0.002442,0.061050,0.000000,0.000000,0.000000,0.120500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.540000,-0.002861,0.000191,-0.000954,0.114633,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.043956,-0.007326,0.007326,-0.007326,0.382418,-0.224176,0.061538,1.128205,0.007326,-0.012210,0.065934,0.000000,0.000000,0.000000,0.121500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.550000,-0.002861,0.000191,-0.000954,0.115396,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.073260,-0.007326,0.007326,-0.007326,0.408791,-0.224176,0.075214,1.182906,0.007326,-0.021978,0.041514,0.000000,0.000000,0.000000,0.122500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.560000,-0.002861,0.000191,-0.000954,0.116541,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.112332,-0.007326,0.007326,-0.007326,0.408791,-0.224176,0.102564,1.087179,0.002442,-0.007326,0.036630,0.000000,0.000000,0.000000,0.123500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.570000,-0.002861,0.000191,-0.000954,0.118067,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.141636,-0.007326,-0.007326,-0.007326,0.408791,-0.224176,0.088889,0.923077,-0.007326,-0.007326,0.036630,0.000000,0.000000,0.000000,0.124500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.580000,-0.002861,0.000191,-0.000954,0.119593,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.102564,-0.007326,0.007326,-0.007326,0.408791,-0.224176,0.088889,0.854701,0.017094,-0.002442,0.036630,0.000000,0.000000,0.000000,0.125500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.590000,-0.002861,0.000191,-0.000954,0.120356,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.063492,-0.007326,0.007326,-0.007326,0.382418,-0.224176,0.102564,0.991453,0.012210,-0.007326,0.051282,0.000000,0.000000,0.000000,0.126500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.600000,-0.002861,0.000572,-0.000954,0.121118,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.073260,0.007326,0.007326,-0.021978,0.408791,-0.224176,0.075214,1.059829,0.007326,-0.002442,0.036630,0.000000,0.000000,0.000000,0.127500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.610000,-0.002861,0.000191,-0.000954,0.121500,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.083028,-0.007326,0.007326,-0.007326,0.408791,-0.224176,0.102564,1.087179,0.012210,-0.031746,0.056166,0.000000,0.000000,0.000000,0.128500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.620000,-0.002861,0.000191,-0.000954,0.122644,-0.000954,0.000954,-0.001717,-0.010989,0.010989,-0.004884,0.092796,-0.021978,0.007326,-0.007326,0.408791,-0.224176,0.088889,1.059829,-0.007326,-0.002442,0.036630,0.000000,0.000000,0.000000,0.129500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.630000,-0.002861,0.000191,-0.000954,0.124170,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.131868,-0.007326,-0.007326,-0.007326,0.408791,-0.224176,0.088889,0.936752,-0.002442,0.002442,0.046398,0.000000,0.000000,0.000000,0.130500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.640000,-0.002861,0.000191,-0.000954,0.125315,-0.000572,0.000954,-0.001335,-0.010989,-0.010989,-0.004884,0.131868,-0.007326,0.021978,-0.007326,0.382418,-0.224176,0.088889,0.868376,-0.002442,0.012210,0.046398,0.000000,0.000000,0.000000,0.131500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.650000,-0.002861,0.000191,-0.000954,0.126459,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.112332,-0.021978,0.021978,-0.007326,0.382418,-0.224176,0.102564,0.841026,0.012210,-0.002442,0.031746,0.000000,0.000000,0.000000,0.132500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50.660000,-0.002861,0.000191,-0.000954,0.127222,-0.000954,0.000954,-0.001717,-0.010989,-0.010989,-0.004884,0.092796,-0.007326,0.007326,-0.007326,0.382418,-0.224176,0.075214,0.882051,0.002442,-0.007326,0.056166,0.000000,0.000000,0.000000,0.133500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
