time,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,qdd0,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.26,-1.49901756661652,0.151408405299902,0.000329630490883681,0.000482986217406677,-1.72403517505941,-0.000532563864063341,-0.00133020977878011,0.0146804333347982,0.0161704483699743,0.00391883193347122,0.00622616437254192,0.0148941383727351,-0.00530426823503202,-0.0146070297554982,0.162575317660044,0.121818355433852,0.0317481571842819,0.0571414267467483,0.170212755086375,-0.0274220112676126,-0.0998245098411088,0,0,0,0,0,0,0
0.27,-1.49886243933121,0.151576269267608,0.000370429078311001,0.000548156709427988,-1.72387751378338,-0.000586967885546691,-0.00148130722614822,0.016364578317213,0.0174091674604094,0.00424317367852376,0.00681312791260168,0.0166591908524974,-0.00557550642989102,-0.0156159881537075,0.174307876527108,0.125911659808281,0.0331210193843531,0.0602576914309486,0.182856936987741,-0.0268042408042688,-0.101941537517578,0,0,0,0,0,0,0
0.28,-1.49868987859773,0.151756723693929,0.000414539805607596,0.000619353275081454,-1.7237015639118,-0.000644051264084657,-0.0016425975374092,0.0181676550561393,0.0186883986235576,0.00458126749263854,0.0074314399939663,0.0185524378350615,-0.00583992624946739,-0.0166453445710365,0.186359681306058,0.129920083500381,0.0344984325137231,0.0634104922616792,0.195849323471459,-0.0260584350465558,-0.103903789991505,0,0,0,0,0,0,0
0.29,-1.49849867933638,0.151950169387177,0.000462100407098288,0.000696891162105545,-1.72350602632413,-0.000703739424692937,-0.00181427692228395,0.0200927958202591,0.0200072725648433,0.00493315470505088,0.00808144661301546,0.0205772907985058,-0.00609625056573505,-0.0176935418082116,0.198718638213135,0.133839539739767,0.03587955801567,0.0665959480883786,0.209175741206813,-0.0251852649502924,-0.105709404167076,0,0,0,0,0,0,0
0.3,-1.498287605755,0.152156998259473,0.000513248988219369,0.000781088883348787,-1.72328956849965,-0.000765945057250193,-0.00199652592798822,0.0221430102886077,0.0213648794517114,0.00529886818365956,0.00876345471749362,0.0227370177176684,-0.00634320973865923,-0.0187590048284367,0.211372325021613,0.137666008331155,0.0372635422387879,0.0698101310234766,0.222821665239378,-0.0241855570788315,-0.107356675912453,0,0,0,0,0,0,0
0.31,-1.49805539259106,0.152377592924759,0.000568123940156461,0.000872267824015699,-1.7230508259698,-0.000830568199149661,-0.00218950926883281,0.0243211823242363,0.0227602695981847,0.00567843218588267,0.00947773175988362,0.0250347396193477,-0.00657954316962383,-0.0198401423550779,0.224308002732636,0.141395539405421,0.0386495168002629,0.073049070598614,0.236772233333094,-0.0230602930459458,-0.108844061642709,0,0,0,0,0,0,0
0.32,-1.4978007463855,0.152612326303841,0.000626863853009419,0.000970751844654942,-1.72278840380434,-0.000897496333454632,-0.00239337567187673,0.0266300668661351,0.0241924541866184,0.00607186221322847,0.0102245052925594,0.0274734272825381,-0.00680400084846257,-0.0209353484843925,0.237512627554366,0.14502425710736,0.040036598965582,0.0763087579635097,0.251012260633008,-0.021810608793762,-0.110170179745386,0,0,0,0,0,0,0
0.33,-1.49752234678698,0.152861561236837,0.000689607427522206,0.00107686688030964,-1.72250087812964,-0.000966604502485156,-0.00260825773877671,0.02907228694244,0.0256604060260016,0.0064791648697451,0.0110039626051229,0.0300558980868373,-0.00701534489244675,-0.0220430043117203,0.250972863178069,0.14854836321668,0.041423892044628,0.0795851501232331,0.26552625463437,-0.0204377937062486,-0.111333811847308,0,0,0,0,0,0,0
0.34,-1.49721884788541,0.15312565010338,0.000756493385417253,0.00119094053625331,-1.72218679767784,-0.00103775543674783,-0.00283427182395897,0.0316503308078391,0.0271630603461201,0.00690033772451315,0.0118162504042879,0.0327848130120159,-0.00721235107558847,-0.0231614795695447,0.264675093339505,0.151964140698838,0.0428104858040951,0.0828741742096085,0.280298430443467,-0.0189432895589345,-0.112333903921424,0,0,0,0,0,0,0
0.35,-1.49688887957347,0.153404934450949,0.000827660378375758,0.00131330168073924,-1.72184468536522,-0.00111079969910308,-0.00307151792922448,0.0343665492079677,0.0286993156268638,0.00733536917834357,0.0126614745366308,0.0356626737915916,-0.00739381034662544,-0.0242891342758174,0.278605434653715,0.155267957182404,0.0441954568961486,0.0861717317824394,0.295312726315302,-0.0173286893056994,-0.113169567232612,0,0,0,0,0,0,0
0.36,-1.49653104893485,0.153699744631654,0.000903246895706593,0.0014442800351921,-1.72147303989822,-0.00118557584404921,-0.00332007961488192,0.037223152773469,0.0302680344619256,0.00778423833484297,0.0135396997544842,0.0386918202231007,-0.00755853033406347,-0.0254243203909321,0.292749749711001,0.158456268359681,0.0455778693032327,0.0894737031562214,0.310552819452962,-0.0155957357036466,-0.113840079121543,0,0,0,0,0,0,0
0.37,-1.49614394165787,0.154010399447836,0.000983391170748378,0.00158420576227597,-1.72107033740561,-0.00126191059198526,-0.00358002392748699,0.0402222095462685,0.0318680444561109,0.00824691487600734,0.0144509495252078,0.0418744276376103,-0.00770533683666262,-0.0265653834817246,0.307093660421678,0.161525621307417,0.0469567747989168,0.0927759517479803,0.326002142053296,-0.0137463197772318,-0.114344883625846,0,0,0,0,0,0,0
0.38,-1.49572612347317,0.154337205806804,0.00106823108605083,0.0017334090522722,-1.72063503309509,-0.00133961901829933,-0.00385140134424994,0.0433656426404867,0.0334981391554402,0.00872335894250385,0.0153952058840239,0.04521250453085,-0.00783307529776673,-0.0277106643908675,0.321622561596914,0.164472657724503,0.0483312134246529,0.0960743284418616,0.341643897583236,-0.0117824791229891,-0.114683591937997,0,0,0,0,0,0,0
0.39,-1.49527614161413,0.154680458385027,0.00115790407738298,0.00189221970820447,-1.72016556293287,-0.00141850475711277,-0.00413424573415727,0.046655228040287,0.0351570790092024,0.00921352101879935,0.0163724093305652,0.0487078903581976,-0.00794061226188912,-0.0288585009100268,0.336321634752746,0.167294117083619,0.0497002139823021,0.0993646759660755,0.357461077270954,-0.00970639605635755,-0.114855982699486,0,0,0,0,0,0,0
0.4,-1.49479252629859,0.155040439302109,0.00125254703661763,0.00206096673014798,-1.71966034534434,-0.00149836021949506,-0.00442857433583697,0.050092592536826,0.0368435923630811,0.00971734182329206,0.0173824587692352,0.0523622534955813,-0.00802683681198416,-0.030007229455139,0.351175862124156,0.169986839693915,0.0510627945422717,0.102642833277797,0.373436476795765,-0.00752039560227251,-0.114862002131003,0,0,0,0,0,0,0
0.41,-1.4942737922305,0.155417417804844,0.00135229621354274,0.00223997789916185,-1.71911778293443,-0.00157896682594817,-0.00473438775218034,0.0536792118063374,0.0385563764824512,0.0102347522036022,0.0184252114934386,0.056177089368208,-0.00809066198585097,-0.0311551867421706,0.366170040875861,0.172547769671846,0.0524179629670868,0.105904639951609,0.389552713160567,-0.00522694333135045,-0.114701763998524,0,0,0,0,0,0,0
0.42,-1.4937184401201,0.155811649961652,0.00145728711665218,0.00242957936128316,-1.71853626422571,-0.00166009525294437,-0.0050516699617169,0.0574164086312536,0.040294098604913,0.0107656730371745,0.0195004832136964,0.0601537187488612,-0.00813102617013518,-0.0323007114617178,0.381288797496313,0.174973957817412,0.0537647174502061,0.109145940567084,0.405792241730401,-0.00282864304365097,-0.114375549415354,0,0,0,0,0,0,0
0.43,-1.49312495822117,0.156223378367681,0.00156765441296968,0.00263009521202134,-1.71791416541273,-0.00174150569328566,-0.00538038834672267,0.061305351266124,0.042055397021105,0.0113100151373446,0.020608048129613,0.064293286227344,-0.00814689447041515,-0.0334421459508071,0.396516602361194,0.177262564393115,0.0551020470698736,0.112362589091091,0.422137373420574,-0.000328234302159367,-0.113883806480333,0,0,0,0,0,0,0
0.44,-1.4924918238838,0.15665283186086,0.00168353182696139,0.00284184708179139,-1.71724985213081,-0.00182294813003831,-0.00572049373802581,0.0653470519499599,0.0438388821828083,0.0118676791650177,0.0217476390456226,0.0685967588524848,-0.00813726005588095,-0.0345778378602607,0.411837784452544,0.179410861803063,0.0564289323577832,0.115550453250429,0.438570292017641,0.0022714101817127,-0.113227149752574,0,0,0,0,0,0,0
0.45,-1.49181750512144,0.157100225249152,0.00180505203859391,0.00306515372272279,-1.71654168123747,-0.00190416262378098,-0.00607192047645662,0.069542365566489,0.0456431378373327,0.0124385555461076,0.0229189475303946,0.0730649249479433,-0.00810114547713876,-0.0357061418159934,0.427236546219508,0.181416237169725,0.0577443458823143,0.118705418890401,0.455073071616432,0.00496728730815725,-0.112406359563274,0,0,0,0,0,0,0
0.46,-1.4911004621905,0.157565759049298,0.00193234658059615,0.00330033059728028,-1.71578800260492,-0.00198487961289049,-0.0064345864908737,0.0738919884536675,0.0474667221871492,0.0130225243948788,0.0241216241197371,0.0776983931028995,-0.00803760395569798,-0.0368254210726162,0.442696978566537,0.18327619480595,0.0590472528460839,0.121823394314954,0.471627694156198,0.00775626649193012,-0.111422381165269,0,0,0,0,0,0,0
0.47,-1.49033914918113,0.158049619237257,0.0020655457349846,0.00354768946913018,-1.71498716092167,-0.00206482022657505,-0.0068083933926808,0.0783964573636519,0.0493081690737084,0.013619455443336,0.0253552785627899,0.082497591338528,-0.00794572064372555,-0.0379340491577278,0.458203075954762,0.184988358579973,0.0603366116975401,0.124900314604027,0.488216067038865,0.0106350927054906,-0.110276323721198,0,0,0,0,0,0,0
0.48,-1.48953201561764,0.158551977010622,0.0022047784289135,0.00380753799668419,-1.7141374975017,-0.00214369661035037,-0.00719322658673321,0.0830561485742896,0.051165989184365,0.0142292079767975,0.0266194801112611,0.0874627664509934,-0.00782461385267992,-0.0390304115052845,0.473738751602158,0.1865504741712,0.0616113747563101,0.127932145903793,0.504820040812297,0.0136003896594253,-0.108969459131279,0,0,0,0,0,0,0
0.49,-1.4886775080671,0.159072988563196,0.00235017212991201,0.00408017932974944,-1.7132373520992,-0.0022212122636412,-0.00758895539851677,0.0878712771530466,0.0530386712813066,0.0148516307757897,0.0279137578514107,0.0925939835315332,-0.0076734362494671,-0.0401129070764511,0.489287852767982,0.187960411214718,0.0628704888519963,0.130914889685478,0.521421426901444,0.0166486631171202,-0.107503220701855,0,0,0,0,0,0,0
