time,q_actual_0,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,dq_actual_0,dq_actual_1,dq_actual_2,dq_actual_3,dq_actual_4,dq_actual_5,dq_actual_6,tau_actual_0,tau_actual_1,tau_actual_2,tau_actual_3,tau_actual_4,tau_actual_5,tau_actual_6,q_ref_0,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,dq_ref_0,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,tau_ref_0,tau_ref_1,tau_ref_2,tau_ref_3,tau_ref_4,tau_ref_5,tau_ref_6
24.550000,-0.000191,0.633440,-0.000572,-0.000191,0.000572,-0.000572,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.382418,6.764835,0.362393,-0.061538,0.056166,-0.398046,-0.012210,0.000000,0.642500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.560000,-0.000191,0.634966,-0.000572,-0.000191,0.000954,-0.000572,-0.000954,0.010989,0.164835,0.004884,-0.004884,0.007326,-0.021978,-0.007326,0.382418,6.553846,0.403419,-0.061538,0.056166,-0.368742,-0.012210,0.000000,0.643500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.570000,-0.000191,0.636110,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.007326,-0.007326,0.007326,0.382418,6.712088,0.376068,-0.061538,0.051282,-0.373626,-0.012210,0.000000,0.644500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.580000,-0.000191,0.638018,-0.000572,-0.000191,0.000572,-0.000954,-0.000572,0.010989,0.164835,0.004884,-0.004884,-0.007326,-0.007326,-0.007326,0.382418,6.553846,0.335043,-0.075214,0.051282,-0.354090,-0.021978,0.000000,0.645500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.590000,0.000191,0.638781,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.382418,6.632967,0.348718,-0.061538,0.056166,-0.368742,-0.031746,0.000000,0.646500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.600000,-0.000191,0.640307,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.142857,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.382418,6.474725,0.348718,-0.047863,0.061050,-0.378510,-0.031746,0.000000,0.647500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.610000,-0.000191,0.641070,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.120879,0.004884,-0.004884,0.007326,-0.021978,-0.007326,0.382418,6.553846,0.362393,-0.075214,0.056166,-0.378510,-0.007326,0.000000,0.648500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.620000,-0.000191,0.642214,-0.000572,-0.000191,0.000954,-0.000572,-0.000572,0.010989,0.120879,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.382418,6.738462,0.403419,-0.075214,0.056166,-0.398046,-0.012210,0.000000,0.649500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.630000,-0.000191,0.643359,-0.000572,-0.000191,0.000954,-0.000954,-0.000572,-0.010989,0.142857,0.004884,-0.004884,0.007326,-0.007326,-0.007326,0.382418,6.580220,0.348718,-0.047863,0.056166,-0.383394,-0.017094,0.000000,0.650500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24.640000,-0.000191,0.644503,-0.000572,-0.000191,0.000572,-0.000572,-0.000572,0.010989,0.098901,0.004884,-0.004884,0.007326,0.007326,-0.007326,0.382418,6.632967,0.362393,-0.061538,0.056166,-0.393162,-0.007326,0.000000,0.651500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
