time,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,qdd0,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.290000,-1.401769,0.134563,0.013384,-0.039459,-1.724927,-0.009882,-0.004964,-0.538668,0.243837,0.669056,0.218047,-0.011858,0.069869,-0.263707,-2.346291,2.010215,2.646349,1.440673,0.328788,0.465020,-1.029472,-12.603801,3.538345,0.315853,5.255181,-0.023972,0.698853,-0.024063
0.300000,-1.402205,0.134637,0.014656,-0.039325,-1.724962,-0.009883,-0.005514,-0.562248,0.264200,0.695659,0.232615,-0.008489,0.074557,-0.274052,-2.368833,2.062280,2.673722,1.472638,0.345252,0.472445,-1.039371,-12.624605,3.577154,0.324780,5.261517,-0.023769,0.701308,-0.025788
0.310000,-1.403517,0.134929,0.018187,-0.038935,-1.725049,-0.009884,-0.007236,-0.586045,0.285083,0.722530,0.247500,-0.004953,0.079318,-0.284494,-2.389728,2.113982,2.699624,1.504220,0.361914,0.479555,-1.048655,-12.643433,3.615159,0.333718,5.266938,-0.023537,0.703633,-0.027538
0.320000,-1.403821,0.135003,0.018937,-0.038847,-1.725064,-0.009883,-0.007554,-0.610042,0.306480,0.749652,0.262699,-0.001250,0.084149,-0.295025,-2.408925,2.165267,2.724010,1.535383,0.378763,0.486335,-1.057308,-12.660227,3.652308,0.342662,5.271426,-0.023274,0.705824,-0.029313
0.330000,-1.404646,0.135225,0.020908,-0.038611,-1.725104,-0.009879,-0.008471,-0.634223,0.328388,0.777010,0.278208,0.002622,0.089045,-0.305640,-2.426372,2.216080,2.746835,1.566094,0.395787,0.492770,-1.065310,-12.674932,3.688549,0.351602,5.274961,-0.022981,0.707876,-0.031111
0.340000,-1.406390,0.135778,0.025105,-0.038113,-1.725175,-0.009865,-0.010513,-0.658570,0.350802,0.804589,0.294021,0.006665,0.094004,-0.316332,-2.442021,2.266365,2.768056,1.596317,0.412975,0.498844,-1.072644,-12.687493,3.723831,0.360533,5.277524,-0.022658,0.709785,-0.032931
0.350000,-1.406824,0.135922,0.026060,-0.037990,-1.725187,-0.009860,-0.010900,-0.683064,0.373715,0.832371,0.310134,0.010881,0.099022,-0.327093,-2.455822,2.316069,2.787629,1.626018,0.430314,0.504541,-1.079293,-12.697858,3.758102,0.369447,5.279098,-0.022302,0.711545,-0.034772
0.360000,-1.408234,0.136423,0.029030,-0.037592,-1.725223,-0.009840,-0.012210,-0.707686,0.397123,0.860341,0.326541,0.015272,0.104095,-0.337917,-2.467729,2.365135,2.805514,1.655163,0.447793,0.509846,-1.085241,-12.705976,3.791310,0.378336,5.279666,-0.021915,0.713153,-0.036634
0.370000,-1.410656,0.137387,0.034448,-0.036862,-1.725269,-0.009798,-0.014576,-0.732418,0.421018,0.888482,0.343237,0.019837,0.109219,-0.348798,-2.477697,2.413509,2.821670,1.683718,0.465398,0.514745,-1.090472,-12.711796,3.823404,0.387192,5.279213,-0.021495,0.714605,-0.038514
0.380000,-1.410947,0.137508,0.035048,-0.036768,-1.725272,-0.009792,-0.014806,-0.757240,0.445393,0.916775,0.360216,0.024580,0.114390,-0.359727,-2.485682,2.461133,2.836059,1.711648,0.483116,0.519222,-1.094969,-12.715271,3.854334,0.396008,5.277725,-0.021042,0.715895,-0.040411
0.390000,-1.413094,0.138457,0.039220,-0.035994,-1.725285,-0.009746,-0.016554,-0.782132,0.470241,0.945203,0.377470,0.029500,0.119603,-0.370697,-2.491641,2.507953,2.848643,1.738920,0.500934,0.523262,-1.098719,-12.716356,3.884050,0.404775,5.275187,-0.020556,0.717021,-0.042325
0.400000,-1.416165,0.139966,0.045803,-0.034684,-1.725293,-0.009668,-0.019257,-0.807073,0.495552,0.973748,0.394994,0.034598,0.124855,-0.381701,-2.495536,2.553913,2.859387,1.765501,0.518838,0.526851,-1.101706,-12.715006,3.912501,0.413486,5.271589,-0.020036,0.717978,-0.044253
0.410000,-1.416165,0.139966,0.045803,-0.034684,-1.725293,-0.009668,-0.019257,-0.832043,0.521319,1.002390,0.412780,0.039876,0.130140,-0.392731,-2.497326,2.598957,2.868255,1.791356,0.536813,0.529975,-1.103918,-12.711181,3.939639,0.422132,5.266917,-0.019482,0.718762,-0.046194
0.420000,-1.419237,0.141582,0.051564,-0.033298,-1.725270,-0.009574,-0.021605,-0.857020,0.547531,1.031113,0.430821,0.045335,0.135454,-0.403780,-2.496977,2.643030,2.875215,1.816454,0.554846,0.532620,-1.105341,-12.704839,3.965414,0.430706,5.261162,-0.018894,0.719371,-0.048147
0.430000,-1.421748,0.143001,0.057120,-0.032045,-1.725253,-0.009490,-0.023761,-0.881982,0.574180,1.059895,0.449109,0.050973,0.140793,-0.414838,-2.494452,2.686076,2.880237,1.840762,0.572921,0.534771,-1.105963,-12.695945,3.989778,0.439197,5.254316,-0.018271,0.719799,-0.050109
0.440000,-1.421748,0.143001,0.057120,-0.032045,-1.725253,-0.009490,-0.023761,-0.906909,0.601253,1.088717,0.467637,0.056793,0.146150,-0.425899,-2.489720,2.728040,2.883290,1.864248,0.591023,0.536416,-1.105772,-12.684463,4.012686,0.447598,5.246371,-0.017614,0.720045,-0.052079
0.450000,-1.425912,0.145465,0.065878,-0.029913,-1.725187,-0.009333,-0.027029,-0.931777,0.628740,1.117561,0.486394,0.062794,0.151521,-0.436954,-2.482751,2.768868,2.884347,1.886880,0.609137,0.537542,-1.104758,-12.670360,4.034089,0.455901,5.237319,-0.016921,0.720104,-0.054056
0.460000,-1.429498,0.147706,0.073333,-0.028000,-1.725100,-0.009185,-0.029850,-0.956564,0.656630,1.146404,0.505374,0.068976,0.156901,-0.447994,-2.473517,2.808507,2.883382,1.908629,0.627247,0.538135,-1.102910,-12.653607,4.053943,0.464095,5.227156,-0.016193,0.719974,-0.056036
0.470000,-1.429498,0.147706,0.073333,-0.028000,-1.725100,-0.009185,-0.029850,-0.981247,0.684910,1.175228,0.524567,0.075339,0.162284,-0.459012,-2.461991,2.846901,2.880371,1.929464,0.645338,0.538184,-1.100218,-12.634175,4.072202,0.472173,5.215878,-0.015430,0.719652,-0.058019
0.480000,-1.434582,0.151009,0.082490,-0.025246,-1.724960,-0.008956,-0.033451,-1.005804,0.713568,1.204012,0.543963,0.081882,0.167664,-0.469998,-2.448151,2.883998,2.875292,1.949355,0.663392,0.537676,-1.096675,-12.612040,4.088824,0.480125,5.203481,-0.014630,0.719135,-0.060002
0.490000,-1.438281,0.153508,0.089262,-0.023196,-1.724839,-0.008747,-0.036109,-1.030210,0.742590,1.232734,0.563554,0.088607,0.173037,-0.480945,-2.431975,2.919745,2.868124,1.968273,0.681395,0.536601,-1.092273,-12.587179,4.103765,0.487942,5.189966,-0.013796,0.718421,-0.061983
0.500000,-1.438281,0.153508,0.089262,-0.023196,-1.724839,-0.008747,-0.036109,-1.054443,0.771963,1.261374,0.583329,0.095510,0.178396,-0.491844,-2.413445,2.954092,2.858849,1.986191,0.699328,0.534946,-1.087003,-12.559572,4.116985,0.495616,5.175331,-0.012925,0.717507,-0.063959
0.510000,-1.445011,0.158211,0.100938,-0.019396,-1.724576,-0.008245,-0.040693,-1.078479,0.801672,1.289911,0.603278,0.102593,0.183736,-0.502685,-2.392545,2.986987,2.847450,2.003082,0.717175,0.532702,-1.080861,-12.529203,4.128443,0.503136,5.159578,-0.012019,0.716391,-0.065929
0.520000,-1.448664,0.160831,0.107228,-0.017327,-1.724410,-0.007885,-0.043087,-1.102294,0.831703,1.318323,0.623391,0.109854,0.189050,-0.513461,-2.369262,3.018379,2.833914,2.018918,0.734919,0.529858,-1.073841,-12.496057,4.138099,0.510493,5.142710,-0.011077,0.715072,-0.067891
0.530000,-1.450172,0.161930,0.109696,-0.016450,-1.724336,-0.007750,-0.044049,-1.125864,0.862040,1.346589,0.643656,0.117292,0.194333,-0.524162,-2.343586,3.048220,2.818227,2.033675,0.752544,0.526405,-1.065938,-12.460124,4.145917,0.517678,5.124730,-0.010099,0.713547,-0.069841
0.540000,-1.457331,0.167275,0.122636,-0.012210,-1.724715,-0.006954,-0.048820,-1.149166,0.892667,1.374688,0.664064,0.124905,0.199579,-0.534780,-2.315508,3.076462,2.800381,2.047327,0.770031,0.522334,-1.057148,-12.421394,4.151860,0.524681,5.105644,-0.009085,0.711815,-0.071776
0.550000,-1.460754,0.169843,0.128056,-0.010263,-1.724500,-0.006493,-0.050827,-1.172174,0.923569,1.402597,0.684603,0.132692,0.204780,-0.545305,-2.285023,3.103057,2.780366,2.059851,0.787363,0.517637,-1.047470,-12.379862,4.155892,0.531493,5.085458,-0.008036,0.709875,-0.073696
0.560000,-1.462502,0.171178,0.130624,-0.009229,-1.724376,-0.006296,-0.051850,-1.194866,0.954728,1.430295,0.705261,0.140652,0.209931,-0.555729,-2.252129,3.127959,2.758176,2.071224,0.804523,0.512305,-1.036900,-12.335526,4.157980,0.538103,5.064181,-0.006952,0.707726,-0.075596
0.570000,-1.471715,0.178413,0.146587,-0.003607,-1.724437,-0.005144,-0.057812,-1.217217,0.986128,1.457760,0.726027,0.148783,0.215026,-0.566043,-2.216826,3.151124,2.733809,2.081425,0.821493,0.506331,-1.025439,-12.288387,4.158093,0.544503,5.041822,-0.005833,0.705366,-0.077474
0.580000,-1.474677,0.180727,0.150731,-0.001887,-1.724068,-0.004745,-0.059364,-1.239203,1.017751,1.484971,0.746890,0.157082,0.220058,-0.576238,-2.179119,3.172508,2.707261,2.090432,0.838255,0.499709,-1.013085,-12.238448,4.156200,0.550683,5.018393,-0.004678,0.702795,-0.079328
0.590000,-1.478722,0.183933,0.155848,0.000527,-1.723655,-0.004268,-0.061524,-1.260799,1.049578,1.511906,0.767836,0.165548,0.225020,-0.586305,-2.139012,3.192068,2.678534,2.098227,0.854791,0.492433,-0.999840,-12.185715,4.152271,0.556632,4.993904,-0.003489,0.700012,-0.081154
0.600000,-1.488294,0.191711,0.170341,0.006388,-1.723278,-0.002946,-0.067077,-1.281983,1.081592,1.538542,0.788854,0.174178,0.229907,-0.596235,-2.096515,3.209764,2.647631,2.104792,0.871084,0.484497,-0.985705,-12.130199,4.146280,0.562340,4.968370,-0.002266,0.697017,-0.082950
0.610000,-1.490546,0.193518,0.173242,0.007675,-1.722977,-0.002587,-0.068176,-1.302730,1.113774,1.564858,0.809932,0.182969,0.234710,-0.606019,-2.051640,3.225556,2.614556,2.110107,0.887115,0.475896,-0.970683,-12.071912,4.138202,0.567799,4.941805,-0.001009,0.693811,-0.084711
0.620000,-1.496265,0.198198,0.180457,0.011144,-1.722328,-0.001838,-0.071021,-1.323016,1.146103,1.590833,0.831056,0.191920,0.239424,-0.615648,-2.004402,3.239405,2.579316,2.114159,0.902867,0.466628,-0.954779,-12.010869,4.128011,0.572997,4.914225,0.000281,0.690393,-0.086436
0.630000,-1.507071,0.207282,0.197022,0.017907,-1.721441,-0.000302,-0.077009,-1.342818,1.178562,1.616445,0.852215,0.201027,0.244043,-0.625114,-1.954820,3.251276,2.541922,2.116931,0.918322,0.456688,-0.937995,-11.947091,4.115687,0.577925,4.885649,0.001605,0.686763,-0.088122
0.640000,-1.508331,0.208326,0.198661,0.018646,-1.721227,-0.000102,-0.077606,-1.362112,1.211129,1.641671,0.873395,0.210286,0.248558,-0.634408,-1.902914,3.261133,2.502384,2.118411,0.933462,0.446074,-0.920338,-11.880598,4.101209,0.582573,4.856095,0.002961,0.682922,-0.089764
0.650000,-1.516003,0.214782,0.208296,0.023365,-1.720162,0.000896,-0.081275,-1.380876,1.243784,1.666492,0.894583,0.219696,0.252964,-0.643521,-1.848708,3.268943,2.460717,2.118585,0.948268,0.434784,-0.901814,-11.811416,4.084559,0.586930,4.825583,0.004349,0.678871,-0.091360
0.660000,-1.528058,0.225200,0.226114,0.031012,-1.718777,0.002713,-0.087623,-1.399086,1.276508,1.690886,0.915767,0.229252,0.257254,-0.652445,-1.792230,3.274674,2.416936,2.117443,0.962724,0.422816,-0.882430,-11.739573,4.065720,0.590987,4.794133,0.005769,0.674612,-0.092906
0.670000,-1.528058,0.225200,0.226114,0.031012,-1.718777,0.002713,-0.087623,-1.416720,1.309278,1.714831,0.936932,0.238950,0.261421,-0.661170,-1.733508,3.278297,2.371060,2.114975,0.976812,0.410172,-0.862195,-11.665100,4.044677,0.594735,4.761770,0.007220,0.670144,-0.094399
0.680000,-1.537943,0.233708,0.238112,0.037155,-1.717811,0.004035,-0.092060,-1.433756,1.342074,1.738307,0.958066,0.248788,0.265457,-0.669688,-1.672577,3.279781,2.323110,2.111173,0.990513,0.396850,-0.841118,-11.588031,4.021418,0.598161,4.728515,0.008701,0.665470,-0.095836
0.690000,-1.551208,0.245442,0.256523,0.045689,-1.716718,0.006130,-0.098717,-1.450172,1.374874,1.761293,0.979155,0.258761,0.269358,-0.677992,-1.609471,3.279102,2.273109,2.106029,1.003811,0.382853,-0.819209,-11.508403,3.995933,0.601258,4.694395,0.010211,0.660591,-0.097213
0.700000,-1.551208,0.245442,0.256523,0.045689,-1.716718,0.006130,-0.098717,-1.465946,1.407656,1.783769,1.000187,0.268864,0.273114,-0.686073,-1.544230,3.276235,2.221080,2.099538,1.016688,0.368183,-0.796479,-11.426256,3.968212,0.604014,4.659435,0.011751,0.655510,-0.098527
0.710000,-1.565134,0.257865,0.274563,0.054708,-1.715635,0.008277,-0.105189,-1.481057,1.440398,1.805715,1.021146,0.279094,0.276721,-0.693922,-1.476894,3.271157,2.167053,2.091696,1.029127,0.352841,-0.772940,-11.341633,3.938249,0.606419,4.623663,0.013318,0.650228,-0.099773
0.720000,-1.576478,0.267968,0.287757,0.061899,-1.713331,0.010136,-0.110203,-1.495484,1.473079,1.827110,1.042021,0.289447,0.280171,-0.701531,-1.407510,3.263846,2.111055,2.082498,1.041111,0.336832,-0.748605,-11.254581,3.906040,0.608465,4.587105,0.014913,0.644747,-0.100949
0.730000,-1.576478,0.267968,0.287757,0.061899,-1.713331,0.010136,-0.110203,-1.509207,1.505675,1.847936,1.062796,0.299917,0.283458,-0.708894,-1.336123,3.254284,2.053118,2.071945,1.052623,0.320160,-0.723488,-11.165146,3.871580,0.610140,4.549792,0.016534,0.639070,-0.102051
